experiment_number,delta_T_C,sample_number,ttf_hours,cycles_to_failure_approx,event,status
1,150,1,610,203,1,failed
1,150,2,660,220,1,failed
1,150,3,410,136,1,failed
1,150,4,436,145,1,failed
1,150,5,861,287,1,failed
1,150,6,572,190,1,failed
1,150,7,605,201,1,failed
1,150,8,452,150,1,failed
2,125,1,724,241,1,failed
2,125,2,624,208,1,failed
2,125,3,1192,397,1,failed
2,125,4,1252,417,1,failed
2,125,5,1328,442,1,failed
2,125,6,730,243,1,failed
2,125,7,1298,432,1,failed
2,125,8,1591,530,1,failed
3,100,1,1398,466,1,failed
3,100,2,2057,685,1,failed
3,100,3,2370,790,1,failed
3,100,4,2030,676,1,failed
3,100,5,2818,939,1,failed
3,100,6,2678,892,1,failed
3,100,7,798,266,1,failed
3,100,8,720,240,1,failed
4,75,1,1873,624,1,failed
4,75,2,2035,678,1,failed
4,75,3,2138,712,1,failed
4,75,4,2099,699,1,failed
4,75,5,1930,643,1,failed
4,75,6,3200,1066,0,right-censored
4,75,7,3200,1066,0,right-censored
4,75,8,3200,1066,0,right-censored
5,50,1,1600,533,0,right-censored
5,50,2,1600,533,0,right-censored
5,50,3,1600,533,0,right-censored
5,50,4,1600,533,0,right-censored
5,50,5,1600,533,0,right-censored
5,50,6,1600,533,0,right-censored
5,50,7,1600,533,0,right-censored
5,50,8,1600,533,0,right-censored
6,25,1,1600,533,0,right-censored
6,25,2,1600,533,0,right-censored
6,25,3,1600,533,0,right-censored
6,25,4,1600,533,0,right-censored
6,25,5,1600,533,0,right-censored
6,25,6,1600,533,0,right-censored
6,25,7,1600,533,0,right-censored
6,25,8,1600,533,0,right-censored
