slot,name,group,columns,png_relpath,paper_png_relpath,caption_stub,title_original
Fig. S1,fig_prior_vs_data_b10,supplementary,single,figures\all\fig_prior_vs_data_b10.png,figures\paper\FigS1.png,Prior-only and data-informed B10 projections at low and near-boundary stresses.,Prior-only and data-informed B10 projections
Fig. 5,fig_group_shape_sensitivity,main,single,figures\all\fig_group_shape_sensitivity.png,figures\paper\Fig5.png,Group-specific Weibull shape sensitivity and common-shape likelihood-ratio test.,
Fig. 6,fig_model_conditional_decision_boundary_uncertainty,main,single,figures\all\fig_model_conditional_decision_boundary_uncertainty.png,figures\paper\Fig6.png,Model-conditional posterior probability that B10 exceeds mission-cycle targets.,Model-conditional probability that B10 >= N
Fig. 3,figure_stress_life_regime,main,double,figures\all\figure_stress_life_regime.png,figures\paper\Fig3.png,"Stress-life data with censoring, fitted model summaries and evidential regimes.",
Fig. 2,figure_failure_fraction_calibration,main,single,figures\all\figure_failure_fraction_calibration.png,figures\paper\Fig2.png,Observed and posterior-predictive failure fractions across tested stress levels.,
Fig. 4,main_reference_case_b10_comparison,main,double,figures\all\main_reference_case_b10_comparison.png,figures\paper\Fig4.png,Reference-case B10 estimates and interval summaries.,
Fig. 1,figure_b10_vs_deltaT_regime,main,double,figures\all\figure_b10_vs_deltaT_regime.png,figures\paper\Fig1.png,B10 versus protocol-defined DeltaT with model uncertainty and evidential regimes.,
Fig. S5,supp_prior_sensitivity_b10_35C,supplementary,double,figures\all\supp_prior_sensitivity_b10_35C.png,figures\paper\FigS5.png,"Prior-sensitivity B10 intervals at 20, 25, and 35 C.",20 deg C | 25 deg C | 35 deg C
Fig. S6,supp_prior_vs_posterior_refined,supplementary,double,figures\all\supp_prior_vs_posterior_refined.png,figures\paper\FigS6.png,Baseline prior versus data-informed posterior interval summaries.,Weibull shape k | Stress slope beta1 | Intercept beta0
Fig. S7,supp_profile_likelihood_b10_refined,supplementary,double,figures\all\supp_profile_likelihood_b10_refined.png,figures\paper\FigS7.png,Profile-likelihood diagnostics for reference-case B10.,Refined Profile Likelihood for Reference-Case B10
Fig. S8,supp_trace_plots_refined,supplementary,double,figures\all\supp_trace_plots_refined.png,figures\paper\FigS8.png,MCMC trace diagnostics for retained posterior samples.,"Refined Trace Plots (acceptance: chain1=0.215, chain2=0.239, chain3=0.248)"
Fig. S3,main_survival_panels_pub,supplementary,double,figures\all\main_survival_panels_pub.png,figures\paper\FigS3.png,Stress-wise survival curves with Kaplan-Meier summaries and posterior intervals.,Delta T = 25 deg C | Delta T = 50 deg C | Delta T = 75 deg C | Delta T = 100 deg C | Delta T = 125 deg C | Delta T = 150 deg C
Fig. S10,supp_weibull_residual_diagnostics,supplementary,double,figures\all\supp_weibull_residual_diagnostics.png,figures\paper\FigS10.png,Cox-Snell and residual quantile diagnostics.,Cox-Snell Residual Diagnostic (axis truncated) | Residual Quantile Plot
Fig. S4,supp_leave_one_stress_out,supplementary,single,figures\all\supp_leave_one_stress_out.png,figures\paper\FigS4.png,Leave-one-stress-out observed versus predicted failure fractions.,
Fig. S9,supp_weibull_probability_plots_refined,supplementary,double,figures\all\supp_weibull_probability_plots_refined.png,figures\paper\FigS9.png,Stress-wise Weibull probability diagnostics.,Refined Weibull Probability Plots by Stress | Delta T = 25 deg C | Delta T = 50 deg C | Delta T = 75 deg C | Delta T = 100 deg C | Delta T = 125 deg C | Delta T = 150 deg C
Fig. S2,figure_b10_density_10C_15C,supplementary,double,figures\all\figure_b10_density_10C_15C.png,figures\paper\FigS2.png,Model-form sensitivity of extrapolative B10 distributions at 10 C and 15 C.,(a) Delta T = 10 deg C | (b) Delta T = 15 deg C
Fig. S11,figure_high_deltaT_extrapolation_CI,supplementary,double,figures\all\figure_high_deltaT_extrapolation_CI.png,figures\paper\FigS11.png,High-side model-conditional B10 extrapolation with posterior uncertainty.,
