metric,value
WAIC,381.2904799585593
p_WAIC,2.128464872611781
DIC_supplementary,381.6405369613325
p_D,2.612173811705702
Bartlett_factor,0.9750206209208742
MCMC_accept_chain1,0.21515
MCMC_accept_chain2,0.23925
MCMC_accept_chain3,0.24805
Rhat_k,1.0006139875151996
Rhat_beta1,1.0000790590944844
Rhat_beta0,1.0000888127821872
ESS_k,4339.828957017958
ESS_beta1,3833.357882284893
ESS_beta0,3828.134183728973
PICM_C_uncertainty_method,laplace_asymptotic_penalized
Lognormal_uncertainty_method,laplace_asymptotic_nll
Mission_target_1,5000.0
Mission_target_2,10000.0
