model,uncertainty_method,delta_T,b10_q50,b10_q025,b10_q975,medianlife_q50,medianlife_q025,medianlife_q975,p_survive_mission_1,p_survive_mission_2
Lognormal AFT (Laplace),MLE fit + Laplace approximation,10.0,48375.96344961162,13384.060558694422,174556.52028946424,79057.57218949083,21840.077868478926,285445.9363074036,0.9998830165242735,0.9969815361464658
PICM-C (Laplace),Penalized fit + Laplace approximation,10.0,10426.75308812554,47.51576429150288,2187446.8875955134,19523.762525704675,84.37740100040045,4323588.615285119,0.6747405670871295,0.5823503868418524
PICM-L (Bayesian),MCMC posterior sampling,10.0,83427.56254488898,21613.067628806377,329893.7502852146,159784.9453089531,43712.3565732072,644897.4898576372,0.9997087430571122,0.9982620883804836
Lognormal AFT (Laplace),MLE fit + Laplace approximation,15.0,19871.124654709085,6821.583483578567,58087.26497653188,32565.77130832005,11166.053275700275,94966.09422330826,0.9976264799027454,0.9618305437624792
PICM-C (Laplace),Penalized fit + Laplace approximation,15.0,7367.728562878154,176.16639154579215,303537.84517936385,13806.1214559092,313.39199799567996,601700.2764278452,0.6811599629075359,0.5492537679971081
PICM-L (Bayesian),MCMC posterior sampling,15.0,30809.612037583043,9901.620191432581,96815.62156540659,58930.76188886175,19996.03374406072,188945.2851891546,0.9975630478043691,0.9851624231175851
Lognormal AFT (Laplace),MLE fit + Laplace approximation,20.0,10568.856066862387,4222.245351362102,26412.333390666106,17314.662823759812,6927.722492361723,43333.294237534756,0.9800874098480244,0.8178050442905667
PICM-C (Laplace),Penalized fit + Laplace approximation,20.0,5365.427663864315,344.7380028219068,82428.73736868637,10075.930760555175,613.6263764597117,163754.3160879985,0.6613030229052451,0.48183777399646727
PICM-L (Bayesian),MCMC posterior sampling,20.0,15187.621443658561,5653.096013149731,40734.56148657557,29113.575525807028,11510.459624743375,79495.46719547022,0.9882230309576006,0.9312004481358956
Lognormal AFT (Laplace),MLE fit + Laplace approximation,25.0,6481.919201012172,2910.9024737635177,14454.126584190402,10622.37174608021,4782.751814888641,23633.885681672098,0.9107245393100412,0.542165980648782
PICM-C (Laplace),Penalized fit + Laplace approximation,25.0,4032.3061699534933,497.9535557467087,32407.179562177225,7560.543247965332,888.7673933352793,63287.46396942061,0.6137896941630208,0.3817217509792841
PICM-L (Bayesian),MCMC posterior sampling,25.0,8772.765087181411,3642.5731933729135,20873.106440606978,16815.57576773039,7458.685266477408,40505.36009983806,0.9589686747947367,0.7875891186769022
Lognormal AFT (Laplace),MLE fit + Laplace approximation,35.0,3104.0852166973214,1657.2854801611265,5818.527399728224,5084.640579311981,2717.1952460436487,9481.65663794624,0.5118396511504717,0.0895217985129785
PICM-C (Laplace),Penalized fit + Laplace approximation,35.0,2442.794406668195,672.2902352082774,8983.044355527381,4563.090189720089,1222.7238705832528,17106.900284617503,0.42519197526661345,0.13903841647191167
PICM-L (Bayesian),MCMC posterior sampling,35.0,3845.7577195717117,1895.836154477829,7610.11173634284,7349.617125344208,3888.9357869968712,14660.265259482565,0.7469803985380138,0.2576686291272114
